Location,Period,Dimension,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births)
Finland,1997,Male,4.26 [4.07-4.45]
Finland,1997,Female,3.5 [3.33-3.66]
Finland,1996,Both sexes,4.05 [3.89-4.22]
Finland,1996,Male,4.44 [4.24-4.64]
Finland,1996,Female,3.65 [3.48-3.82]
Finland,1995,Both sexes,4.25 [4.08-4.42]
Finland,1995,Male,4.65 [4.45-4.86]
Finland,1995,Female,3.83 [3.66-4.01]
Finland,1994,Both sexes,4.49 [4.32-4.65]
Finland,1994,Male,4.91 [4.71-5.11]
Finland,1994,Female,4.04 [3.87-4.22]
Finland,1993,Both sexes,4.75 [4.59-4.92]
Finland,1993,Male,5.21 [5-5.41]
Finland,1993,Female,4.27 [4.1-4.45]
Finland,1992,Both sexes,5.03 [4.87-5.21]
Finland,1992,Male,5.52 [5.31-5.73]
Finland,1992,Female,4.53 [4.35-4.72]
Finland,1991,Both sexes,5.31 [5.13-5.5]
Finland,1991,Male,5.82 [5.59-6.04]
Finland,1991,Female,4.78 [4.59-4.98]
Finland,1990,Both sexes,5.55 [5.35-5.76]
Finland,1990,Male,6.1 [5.86-6.35]
Finland,1990,Female,4.97 [4.76-5.2]
Finland,1989,Both sexes,5.73 [5.53-5.94]
Finland,1989,Male,6.3 [6.05-6.56]
Finland,1989,Female,5.13 [4.92-5.36]
Finland,1988,Both sexes,5.86 [5.65-6.07]
Finland,1988,Male,6.44 [6.19-6.7]
Finland,1988,Female,5.24 [5.03-5.46]
Finland,1987,Both sexes,5.93 [5.74-6.13]
Finland,1987,Male,6.53 [6.28-6.78]
Finland,1987,Female,5.3 [5.1-5.52]
Finland,1986,Both sexes,5.99 [5.79-6.18]
Finland,1986,Male,6.59 [6.34-6.83]
Finland,1986,Female,5.35 [5.14-5.56]
Finland,1985,Both sexes,6.04 [5.84-6.24]
Finland,1985,Male,6.65 [6.4-6.89]
Finland,1985,Female,5.4 [5.19-5.62]
Finland,1984,Both sexes,6.13 [5.92-6.32]
Finland,1984,Male,6.74 [6.49-6.99]
Finland,1984,Female,5.48 [5.27-5.69]
Finland,1983,Both sexes,6.26 [6.05-6.47]
Finland,1983,Male,6.89 [6.64-7.15]
Finland,1983,Female,5.6 [5.38-5.82]
Finland,1982,Both sexes,6.47 [6.26-6.68]
Finland,1982,Male,7.12 [6.86-7.39]
Finland,1982,Female,5.78 [5.56-6.01]
Finland,1981,Both sexes,6.75 [6.54-6.97]
Finland,1981,Male,7.47 [7.2-7.74]
Finland,1981,Female,6 [5.77-6.23]
Finland,1980,Both sexes,7.12 [6.9-7.35]
Finland,1980,Male,7.88 [7.61-8.16]
Finland,1980,Female,6.32 [6.09-6.57]
Finland,1979,Both sexes,7.58 [7.36-7.8]
Finland,1979,Male,8.41 [8.14-8.7]
Finland,1979,Female,6.7 [6.46-6.94]
Finland,1978,Both sexes,8.13 [7.9-8.35]
Finland,1978,Male,9.03 [8.74-9.32]
Finland,1978,Female,7.18 [6.92-7.42]
Finland,1977,Both sexes,8.75 [8.51-8.99]
Finland,1977,Male,9.76 [9.46-10.06]
Finland,1977,Female,7.68 [7.42-7.94]
Finland,1976,Both sexes,9.41 [9.17-9.67]
Finland,1976,Male,10.52 [10.2-10.85]
Finland,1976,Female,8.25 [7.98-8.53]
Finland,1975,Both sexes,10.09 [9.83-10.37]
Finland,1975,Male,11.31 [10.96-11.66]
Finland,1975,Female,8.81 [8.53-9.12]
Finland,1974,Both sexes,10.74 [10.48-11.04]
